model,fold,heldout_task,cp_seed,alpha,eval_time,n_validation_success,regression_calibration_count,modulation_calibration_count,band_width,realized_fpr,catch_rate,tnr,balanced_accuracy,caught_alarm_fraction,effective_alarm_fraction,caught_lead_fraction,effective_lead_fraction,success_false_alarm_fraction,any_alarm_rate,roc_auc_max_score
mlp,3,3,0,0.1,by final end,200,60,140,1.0000719425972895,0.16666666666666666,0.9807692307692307,0.8333333333333334,0.907051282051282,0.5788084464555052,0.5869082840236686,0.4211915535444948,0.41309171597633143,0.41875,0.59,0.9759615384615384
mlp,3,3,0,0.1,by earliest stop,200,60,140,1.0000719425972895,0.08333333333333333,0.28846153846153844,0.9166666666666666,0.6025641025641025,0.1718360071301248,0.7611065405183053,0.8281639928698752,0.23889345948169471,0.10695187165775401,0.19,0.7255608974358975
mlp,3,3,0,0.1,fixed horizon 50,200,60,140,1.0186443469260658,0.125,0.3076923076923077,0.875,0.5913461538461539,0.7475,0.9223076923076925,0.25249999999999995,0.0776923076923075,0.7600000000000001,0.22,0.5881410256410257
mlp,3,3,0,0.1,fixed horizon 100,200,60,140,1.041833633102461,0.10416666666666667,0.28846153846153844,0.8958333333333334,0.5921474358974359,0.5406666666666666,0.8674999999999999,0.45933333333333337,0.13250000000000006,0.54,0.2,0.6157852564102564
mlp,3,3,0,0.1,fixed horizon 148,200,60,140,1.041833633102461,0.10416666666666667,0.28846153846153844,0.8958333333333334,0.5921474358974359,0.3653153153153153,0.8169178794178793,0.6346846846846848,0.1830821205821207,0.36486486486486486,0.2,0.7151442307692307
mlp,3,3,0,0.15,by final end,200,60,140,1.026489033131741,0.22916666666666666,1.0,0.7708333333333334,0.8854166666666667,0.5388313609467456,0.5388313609467456,0.46116863905325445,0.46116863905325445,0.3818181818181818,0.63,0.9759615384615384
mlp,3,3,0,0.15,by earliest stop,200,60,140,1.026489033131741,0.125,0.3076923076923077,0.875,0.5913461538461539,0.2894385026737968,0.781365693130399,0.7105614973262032,0.21863430686960095,0.2896613190730838,0.22,0.7255608974358975
mlp,3,3,0,0.15,fixed horizon 50,200,60,140,1.0349018612997731,0.1875,0.3269230769230769,0.8125,0.5697115384615384,0.8647058823529411,0.9557692307692308,0.1352941176470589,0.044230769230769185,0.8733333333333334,0.26,0.5881410256410257
mlp,3,3,0,0.15,fixed horizon 100,200,60,140,1.0488551110040483,0.1875,0.34615384615384615,0.8125,0.5793269230769231,0.5727777777777777,0.8521153846153845,0.4272222222222223,0.1478846153846155,0.6122222222222223,0.27,0.6157852564102564
mlp,3,3,0,0.15,fixed horizon 148,200,60,140,1.0620350685435227,0.16666666666666666,0.34615384615384615,0.8333333333333334,0.5897435897435898,0.49774774774774777,0.8261434511434511,0.5022522522522522,0.1738565488565489,0.4755067567567568,0.26,0.7151442307692307
