comparison_type,left,right,eval_time,left_alpha,right_alpha,n_tasks,delta_realized_fpr,delta_realized_fpr_ci_low,delta_realized_fpr_ci_high,delta_realized_fpr_positive_tasks,delta_catch_rate,delta_catch_rate_ci_low,delta_catch_rate_ci_high,delta_catch_rate_positive_tasks,delta_effective_lead_fraction,delta_effective_lead_fraction_ci_low,delta_effective_lead_fraction_ci_high,delta_effective_lead_fraction_positive_tasks,catch_rate_sign_flip_pvalue_two_sided
same nominal alpha,shuffled_late24_28_32,baseline32,fixed horizon 25,0.025,0.025,10,-0.00800618850701347,-0.03618423950829976,0.008806967256599605,7,-0.008008448583195037,-0.040805101010101,0.019734933513635332,5,-0.008529696682852864,-0.036561446482061985,0.011809149841211291,5,0.6760975609756098
same nominal alpha,shuffled_late24_28_32,baseline32,fixed horizon 25,0.05,0.05,10,-0.002511946725361361,-0.0371613684926185,0.02364384436701503,5,-0.005111540352818247,-0.0410019288472965,0.02902829778515367,4,-0.005497868748335279,-0.037660601901366615,0.019828550781650075,4,0.824390243902439
same nominal alpha,shuffled_late24_28_32,baseline32,fixed horizon 25,0.075,0.075,10,0.00639671966006255,-0.03199901702872292,0.040687332265415085,5,-0.003628039010797625,-0.04331888868400024,0.03434633121273585,4,-0.004178623476140711,-0.04066824901960785,0.0274927104616141,5,0.8517073170731707
same nominal alpha,shuffled_late24_28_32,baseline32,fixed horizon 25,0.1,0.1,10,0.003337147357663853,-0.03524472748795922,0.03993104768736763,5,-0.005262244145307024,-0.04676705659536542,0.035570308946462584,4,-0.0035890841887434117,-0.04110271345811051,0.03047146757022554,4,0.7970731707317074
same nominal alpha,shuffled_late24_28_32,baseline32,fixed horizon 25,0.15,0.15,10,-0.006583542497674499,-0.05758490220822537,0.048402278358497725,3,-0.010997346692072859,-0.05702647903989182,0.03455196385764336,4,-0.0060733541090417145,-0.043210157754010686,0.029078839984018712,4,0.6643902439024391
same nominal alpha,shuffled_late24_28_32,baseline32,fixed horizon 25,0.2,0.2,10,-0.020008735828176295,-0.07633329231743866,0.036254954091620044,3,-0.021254592237452262,-0.07594008151153181,0.02911435081033453,4,-0.009012657583270156,-0.04699233355871082,0.028182961937836763,4,0.48097560975609754
same nominal alpha,shuffled_late24_28_32,baseline32,fixed horizon 25,0.3,0.3,10,-0.015287479338770588,-0.0876842492355405,0.05959553906558911,4,-0.01157257326476393,-0.08525461836075426,0.06305284761065695,5,-0.003871635352852404,-0.05936915314401625,0.05019864467870014,4,0.7814634146341464
independent FPR <= 0.05 operating points,shuffled_late24_28_32,baseline32,fixed horizon 25,0.025,0.025,10,-0.00800618850701347,-0.03618423950829976,0.008806967256599605,7,-0.008008448583195037,-0.040805101010101,0.019734933513635332,5,-0.008529696682852864,-0.036561446482061985,0.011809149841211291,5,0.6760975609756098
same nominal alpha,shuffled_late24_28_32,baseline32,fixed horizon 37,0.01,0.01,10,-8.92946922359042e-06,-0.026484949005243123,0.01747975606909426,6,-0.010551906488823325,-0.035320383244206784,0.010893367652181022,4,-0.001944854360168761,-0.022129735564902907,0.01201904135372695,6,0.42634146341463414
same nominal alpha,shuffled_late24_28_32,baseline32,fixed horizon 37,0.025,0.025,10,-0.005612776526836787,-0.03250559513418194,0.01171782362464571,6,-0.01632001864486652,-0.0491741576259553,0.010880356941627204,5,-0.005473874012312152,-0.030321854613233924,0.011655607767549947,5,0.42634146341463414
same nominal alpha,shuffled_late24_28_32,baseline32,fixed horizon 37,0.05,0.05,10,-0.004166307397369095,-0.03479212474178938,0.01741550778848124,5,-0.010665480361423566,-0.04549211229946524,0.022031090724691126,4,-0.0015787549858543796,-0.030682799537505422,0.0210443988290337,5,0.5941463414634146
same nominal alpha,shuffled_late24_28_32,baseline32,fixed horizon 37,0.075,0.075,10,0.0015640725685919343,-0.028877995478736155,0.02705077097838395,5,-0.004353019034154938,-0.0423139780154486,0.03401796934865889,4,0.004560988676303071,-0.03007611729376436,0.03590056798177486,5,0.8360975609756097
same nominal alpha,shuffled_late24_28_32,baseline32,fixed horizon 37,0.1,0.1,10,0.003365762206866932,-0.028469801861417718,0.03014971191728722,6,0.00018169524863236586,-0.04026617647058822,0.04203721264367814,4,0.0052758195407282705,-0.02972919175860352,0.03802441697967557,4,0.9960975609756098
same nominal alpha,shuffled_late24_28_32,baseline32,fixed horizon 37,0.15,0.15,10,0.006304501974193499,-0.042465023433544774,0.05980655888528014,5,-0.010795843833876283,-0.06322016347552603,0.04387228881103116,3,0.0034478110694135186,-0.037110784336567795,0.04633906214092551,4,0.7034146341463414
