comparison_type,left,right,eval_time,left_alpha,right_alpha,n_tasks,delta_realized_fpr,delta_realized_fpr_ci_low,delta_realized_fpr_ci_high,delta_realized_fpr_positive_tasks,delta_catch_rate,delta_catch_rate_ci_low,delta_catch_rate_ci_high,delta_catch_rate_positive_tasks,delta_effective_lead_fraction,delta_effective_lead_fraction_ci_low,delta_effective_lead_fraction_ci_high,delta_effective_lead_fraction_positive_tasks,catch_rate_sign_flip_pvalue_two_sided
same nominal alpha,layer20_32,shuffled20_32,by earliest stop,0.025,0.025,10,0.007612699961090425,-0.02988847562192779,0.05162994973234474,5,0.024187182241568593,-0.01693836016917662,0.0732702724211383,6,0.007124845163080884,-0.023321576433890653,0.04521403899552015,5,0.38341463414634147
same nominal alpha,layer20_32,shuffled20_32,by earliest stop,0.05,0.05,10,0.019410717146967238,-0.018802043982627612,0.06927823876060589,5,0.03501849600368824,-0.01114238380573622,0.08618599742269858,6,0.007933584878302596,-0.023150824423979057,0.04281681227246101,6,0.22731707317073171
same nominal alpha,layer20_32,shuffled20_32,by earliest stop,0.075,0.075,10,0.02410591595521968,-0.020431461189934566,0.08188885549619493,8,0.03764176900108235,-0.006960120717308587,0.088279628657781,6,0.015923166697085284,-0.017616033771790683,0.05197021262497892,7,0.1902439024390244
same nominal alpha,layer20_32,shuffled20_32,by earliest stop,0.1,0.1,10,0.022826817768492956,-0.024395066239548742,0.08390447740889144,8,0.02566234548313718,-0.023879936466719025,0.07975992811047053,6,0.011522573549910459,-0.03235978894445772,0.058231245850793346,6,0.38926829268292684
same nominal alpha,layer20_32,shuffled20_32,by earliest stop,0.15,0.15,10,0.02968509138713909,-0.0273420809581048,0.10302845624134721,7,0.03639657596259568,-0.020176090278024146,0.09980023347425887,5,0.02438444725849051,-0.02307977369839582,0.07517638251781031,7,0.3170731707317073
same nominal alpha,layer20_32,shuffled20_32,by earliest stop,0.2,0.2,10,0.03973708898946968,-0.018460050433174426,0.11583481506544219,8,0.0338461820738707,-0.018680353987995436,0.09280998752025443,7,0.021881295445271752,-0.026521124534866096,0.07095267179995707,7,0.2975609756097561
same nominal alpha,layer20_32,shuffled20_32,by earliest stop,0.3,0.3,10,0.03303485048660655,-0.027997196196127977,0.09569143655723024,7,0.027310163471522514,-0.02580938760806886,0.07556775926834239,7,0.03280564110431491,-0.009880023149220419,0.07722183995723197,7,0.33658536585365856
independent FPR <= 0.05 operating points,layer20_32,shuffled20_32,by earliest stop,0.01,0.025,10,-0.016257162009846275,-0.058822605026989695,0.01429728682451765,2,-0.0258580486765392,-0.06952877720267486,0.012438250770278055,3,-0.014779158983941387,-0.04428558969434507,0.01581814473638219,3,0.2975609756097561
same nominal alpha,layer20_32,shuffled20_32,fixed horizon 13,0.01,0.01,10,0.00869287214894061,-0.00961982610192664,0.03781220074534033,4,0.014130855123906032,-0.02421665172587654,0.06481833045683194,3,0.013098777976839785,-0.015710650123162067,0.05374967321765217,3,0.7034146341463414
same nominal alpha,layer20_32,shuffled20_32,fixed horizon 13,0.025,0.025,10,0.01303037388996913,-0.010600094277959838,0.04604985838294293,5,0.010880488932684522,-0.031615599642110345,0.060496533768694065,5,0.013687567310449473,-0.021236066198490517,0.05845762745477258,5,0.6956097560975609
