model,cp_seed,alpha,eval_time,roc_auc_max_score_macro,realized_fpr_macro,catch_rate_macro,balanced_accuracy_macro,caught_alarm_fraction_macro,effective_alarm_fraction_macro,caught_lead_fraction_macro,effective_lead_fraction_macro
lstm,7,0.025,by final end,0.8715333416097033,0.08210440782624355,0.25695757275952047,0.5874265824666385,0.38298932449255724,0.8291879938156974,0.6170106755074427,0.17081200618430253
lstm,8,0.025,by final end,0.8715333416097033,0.04292760395738018,0.24085111836242143,0.5989617572025207,0.4296139574711003,0.8790599702573626,0.5703860425288997,0.12094002974263732
lstm,9,0.025,by final end,0.8715333416097033,0.052060262950520506,0.3797571196065332,0.6638484283280064,0.5482043827227279,0.8541151745808875,0.4517956172772721,0.14588482541911243
lstm,0,0.05,by final end,0.8715333416097033,0.1407696668957982,0.4206080530868584,0.6399191930955301,0.40134735696483304,0.7361215670231401,0.598652643035167,0.2638784329768598
lstm,1,0.05,by final end,0.8715333416097033,0.12200359766343034,0.5540293558957347,0.7160128791161522,0.5073708493485537,0.7261937089886523,0.4926291506514463,0.27380629101134774
lstm,2,0.05,by final end,0.8715333416097033,0.14129326183546728,0.26514169516506075,0.5619242166647967,0.2940819678335525,0.8211428850125191,0.7059180321664476,0.17885711498748086
lstm,3,0.05,by final end,0.8715333416097033,0.15176330135690735,0.4404911126451097,0.6443639056441012,0.43242224251856937,0.7551917253689439,0.5675777574814307,0.24480827463105612
lstm,4,0.05,by final end,0.8715333416097033,0.10455821351727226,0.4725738754366845,0.6840078309597061,0.45079297656814427,0.7765433543922294,0.5492070234318558,0.22345664560777054
lstm,5,0.05,by final end,0.8715333416097033,0.14585269769905213,0.5234650647453558,0.6888061835231518,0.4427045378926577,0.7231423796191737,0.5572954621073423,0.2768576203808263
lstm,6,0.05,by final end,0.8715333416097033,0.13150761049444173,0.5373438300601605,0.7029181097828594,0.4824959615704808,0.7356995390218131,0.5175040384295192,0.2643004609781868
lstm,7,0.05,by final end,0.8715333416097033,0.12456977548035149,0.46067903460890786,0.6680546295642782,0.37627747754195123,0.713765955176401,0.6237225224580488,0.28623404482359904
lstm,8,0.05,by final end,0.8715333416097033,0.10812922270020282,0.3224545794808112,0.6071626783903042,0.404014571545457,0.8171818034561783,0.5959854284545429,0.18281819654382173
lstm,9,0.05,by final end,0.8715333416097033,0.12093580037105205,0.5696800800979782,0.724372139863463,0.49957395137870736,0.7520599892333861,0.5004260486212926,0.24794001076661393
lstm,0,0.075,by final end,0.8715333416097033,0.19211015807187698,0.5878181478576463,0.6978539948928847,0.39908541923946883,0.6665159534439338,0.6009145807605312,0.3334840465560662
lstm,1,0.075,by final end,0.8715333416097033,0.15130661288469863,0.5590080965143478,0.7038507418148245,0.44633841618411757,0.6767674612682835,0.5536615838158825,0.32323253873171653
lstm,2,0.075,by final end,0.8715333416097033,0.17577042126409348,0.49112887464740396,0.6576792266916552,0.35941020733912044,0.7211302479757572,0.6405897926608797,0.2788697520242428
lstm,3,0.075,by final end,0.8715333416097033,0.18227110885686523,0.645835052303543,0.7317819717233389,0.5134705793717556,0.6885424722378517,0.4865294206282444,0.3114575277621483
lstm,4,0.075,by final end,0.8715333416097033,0.1700309763328575,0.5096152907393742,0.6697921572032584,0.3717393192633577,0.7221235025853175,0.6282606807366423,0.27787649741468246
lstm,5,0.075,by final end,0.8715333416097033,0.20572676857007224,0.6271784036543852,0.7107258175421565,0.42287442637265277,0.653601853632361,0.5771255736273473,0.34639814636763905
lstm,6,0.075,by final end,0.8715333416097033,0.18153146338714707,0.6077790891932139,0.7131238129030335,0.4410125244947727,0.6813522062591654,0.5589874755052273,0.3186477937408347
lstm,7,0.075,by final end,0.8715333416097033,0.22572914940363428,0.5998912887617035,0.6870810696790346,0.39131575252224304,0.6441731621913019,0.608684247477757,0.355826837808698
lstm,8,0.075,by final end,0.8715333416097033,0.2088591812617747,0.42886191963493675,0.6100013691865811,0.3472746525460545,0.7298369085544628,0.6527253474539455,0.2701630914455372
lstm,9,0.075,by final end,0.8715333416097033,0.2032661930980697,0.6465559720162048,0.7216448894590675,0.43458474956798127,0.6552851034524452,0.5654152504320187,0.3447148965475549
lstm,0,0.1,by final end,0.8715333416097033,0.2446043077266487,0.6298674786452108,0.692631585459281,0.3659960941158447,0.6115568878528445,0.6340039058841553,0.3884431121471556
lstm,1,0.1,by final end,0.8715333416097033,0.26169219942605143,0.6463230696727813,0.6923154351233649,0.4167049134653447,0.6318342330735178,0.5832950865346552,0.36816576692648223
lstm,2,0.1,by final end,0.8715333416097033,0.21235983593163862,0.5354923882852451,0.6615662761768033,0.3067851097643659,0.6539377331633053,0.6932148902356341,0.3460622668366947
lstm,3,0.1,by final end,0.8715333416097033,0.26667113049986624,0.720340422440265,0.7268346459701993,0.4427407230905917,0.6001909773190671,0.5572592769094082,0.3998090226809329
lstm,4,0.1,by final end,0.8715333416097033,0.21268624438614384,0.7211598589893374,0.7542368073015968,0.46477252839492633,0.6169647833494708,0.5352274716050737,0.3830352166505292
lstm,5,0.1,by final end,0.8715333416097033,0.2834186955482093,0.6131204810846611,0.6648508927682258,0.36111502811406726,0.6239433245678582,0.6388849718859327,0.37605667543214183
lstm,6,0.1,by final end,0.8715333416097033,0.24139236613442763,0.6468738625444141,0.7027407482049932,0.4274188397765658,0.6397425151848335,0.5725811602234342,0.3602574848151665
